STEP-0; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [12,12]
STEP-17; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [8,21]
STEP-18; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [7,21]
STEP-19; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [6,22]
STEP-20; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [5,23]
STEP-21; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [6,22]
STEP-22; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [6,23]
STEP-23; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [5,23]
STEP-24; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [4,23]
STEP-25; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [5,22]
STEP-26; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [4,22]
STEP-27; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [3,22]
STEP-28; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [3,23]
STEP-29; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [2,22]
STEP-30; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [1,23]
STEP-31; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [0,23]
STEP-32; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [1,23]
STEP-33; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [0,23]
STEP-34; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [1,23]
STEP-35; EVENT position; UNIT ROVER-b8d86221-58cc-460c-9886-3fee6e69aa5d; POSITION [2,23]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [11,11]
STEP-2; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [12,11]
STEP-3; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [11,10]
STEP-4; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [10,10]
STEP-5; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [9,11]
STEP-6; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [10,10]
STEP-7; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [11,11]
STEP-8; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [10,11]
STEP-9; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [9,12]
STEP-10; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [8,13]
STEP-11; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [7,12]
STEP-12; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [7,13]
STEP-13; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [8,14]
STEP-14; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [9,14]
STEP-15; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [8,14]
STEP-16; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [8,15]
STEP-17; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [7,16]
STEP-18; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [6,15]
STEP-19; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [6,16]
STEP-20; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [5,16]
STEP-21; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [4,15]
STEP-22; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [5,15]
STEP-23; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [4,16]
STEP-24; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [3,16]
STEP-25; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [2,15]
STEP-26; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [1,14]
STEP-27; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [0,13]
STEP-28; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [1,13]
STEP-29; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [2,14]
STEP-30; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [1,15]
STEP-31; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [0,15]
STEP-32; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [1,16]
STEP-33; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [1,17]
STEP-34; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [0,16]
STEP-35; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [0,17]
STEP-36; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [1,18]
STEP-37; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [0,18]
STEP-38; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [0,19]
STEP-39; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [1,19]
STEP-40; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [0,20]
STEP-41; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [0,21]
STEP-42; EVENT position; UNIT ROVER-0be05daf-3e61-473d-bcec-af017f359dd0; POSITION [1,20]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-fb5f8cd3-ddb8-42d8-b343-1af476c1a96f; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-fb5f8cd3-ddb8-42d8-b343-1af476c1a96f; POSITION [11,12]
STEP-0; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [12,11]
STEP-2; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [13,12]
STEP-3; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [13,13]
STEP-4; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [14,13]
STEP-5; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [13,12]
STEP-6; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [13,13]
STEP-7; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [12,14]
STEP-8; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [11,15]
STEP-9; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [10,15]
STEP-10; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [11,15]
STEP-11; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [10,14]
STEP-12; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [9,13]
STEP-13; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [10,13]
STEP-14; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [9,14]
STEP-15; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [8,13]
STEP-16; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [7,14]
STEP-17; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [7,15]
STEP-18; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [6,16]
STEP-19; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [5,17]
STEP-20; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [4,16]
STEP-21; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [4,17]
STEP-22; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [4,18]
STEP-23; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [5,18]
STEP-24; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [5,19]
STEP-25; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [6,20]
STEP-26; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [7,20]
STEP-27; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [6,19]
STEP-28; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [5,18]
STEP-29; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [4,17]
STEP-30; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [3,17]
STEP-31; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [3,18]
STEP-32; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [2,18]
STEP-33; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [3,19]
STEP-34; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [2,18]
STEP-35; EVENT position; UNIT ROVER-c4b7aaa5-e2ad-48dc-9ed3-e3ffbc9c2492; POSITION [1,19]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [12,11]
STEP-2; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [13,10]
STEP-3; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [12,9]
STEP-4; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [12,10]
STEP-5; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [11,10]
STEP-6; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [10,10]
STEP-7; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [9,11]
STEP-8; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [10,10]
STEP-9; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [11,11]
STEP-10; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [10,11]
STEP-11; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [9,12]
STEP-12; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [8,11]
STEP-13; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [7,10]
STEP-14; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [7,11]
STEP-15; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [7,12]
STEP-16; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [7,13]
STEP-17; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [8,13]
STEP-18; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [7,13]
STEP-19; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [6,13]
STEP-20; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [6,14]
STEP-21; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [7,15]
STEP-22; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [6,16]
STEP-23; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [5,15]
STEP-24; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [5,16]
STEP-25; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [4,15]
STEP-26; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [5,16]
STEP-27; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [5,17]
STEP-28; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [4,17]
STEP-29; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [3,17]
STEP-30; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [4,17]
STEP-31; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [3,18]
STEP-32; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [2,19]
STEP-33; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [1,20]
STEP-34; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [0,19]
STEP-35; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [0,20]
STEP-36; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [1,20]
STEP-37; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [0,20]
STEP-38; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [1,20]
STEP-39; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [1,21]
STEP-40; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [0,21]
STEP-41; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [0,22]
STEP-42; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [1,22]
STEP-43; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [0,23]
STEP-44; EVENT position; UNIT ROVER-5ac7eef1-fcfe-47b0-840c-ebcd344d754c; POSITION [1,23]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [11,13]
STEP-2; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [12,12]
STEP-3; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [13,11]
STEP-4; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [12,12]
STEP-5; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [13,13]
STEP-6; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [14,12]
STEP-7; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [13,11]
STEP-8; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [12,11]
STEP-9; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [12,12]
STEP-10; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [11,11]
STEP-11; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [12,12]
STEP-12; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [11,12]
STEP-13; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [11,13]
STEP-14; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [10,13]
STEP-15; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [9,12]
STEP-16; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [10,11]
STEP-17; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [9,10]
STEP-18; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [8,11]
STEP-19; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [7,11]
STEP-20; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [8,12]
STEP-21; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [8,13]
STEP-22; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [7,14]
STEP-23; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [8,13]
STEP-24; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [7,13]
STEP-25; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [8,14]
STEP-26; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [7,14]
STEP-27; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [6,13]
STEP-28; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [7,14]
STEP-29; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [6,13]
STEP-30; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [5,13]
STEP-31; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [4,14]
STEP-32; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [5,15]
STEP-33; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [6,16]
STEP-34; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [5,15]
STEP-35; EVENT position; UNIT ROVER-ce966f48-c790-4007-ba42-2508e13c496c; POSITION [4,14]
EVENT outcome; OUTCOME NOT_COLONIZABLE_RESOURCES
STEP-0; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [12,12]
STEP-1; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [12,11]
STEP-2; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [11,10]
STEP-3; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [12,10]
STEP-4; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [11,10]
STEP-5; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [10,11]
STEP-6; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [11,12]
STEP-7; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [10,11]
STEP-8; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [9,12]
STEP-9; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [8,13]
STEP-10; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [7,14]
STEP-11; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [6,13]
STEP-12; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [5,13]
STEP-13; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [6,13]
STEP-14; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [5,13]
STEP-15; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [4,13]
STEP-16; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [5,12]
STEP-17; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [4,12]
STEP-18; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [4,13]
STEP-19; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [3,14]
STEP-20; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [2,15]
STEP-21; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [2,16]
STEP-22; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [1,17]
STEP-23; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [0,18]
STEP-24; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [1,19]
STEP-25; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [2,19]
STEP-26; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [3,18]
STEP-27; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [4,18]
STEP-28; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [5,17]
STEP-29; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [6,16]
STEP-30; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [5,15]
STEP-31; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [4,16]
STEP-32; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [5,17]
STEP-33; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [5,18]
STEP-34; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [5,19]
STEP-35; EVENT position; UNIT ROVER-152650da-c712-40ac-8d74-5b3ca9f80ca5; POSITION [4,20]
